Time,Total population (Both sexes)?person?,Total population (0-14)?person?,Total population (15-64)?person?,Total population (65 and over)?person?,Live births?person?,Deaths?person?,Employment rate (Both sexes)?%?,Unemployment rate (Both sexes)?%?
Oct.1996,125859000,19690000,87160000,19020000,104634,73374,61.8,3.4
Nov.1996,125890000,19660000,87160000,19080000,96903,73927,61.3,3.2
Dec.1996,125939000,19640000,87170000,19130000,99288,85639,60.9,3.1
Jan.1997,125747000,19580000,87020000,19150000,100094,102195,60.4,3.3
Feb.1997,125912000,19580000,87090000,19250000,88370,80072,60.4,3.5
Mar.1997,125860000,19560000,86980000,19330000,96481,81559,61,3.5
Apr.1997,125942000,19510000,87000000,19440000,95741,75638,61.8,3.4
May.1997,125960000,19510000,86970000,19490000,104980,72479,62.2,3.5
Jun.1997,126013000,19490000,87000000,19530000,100265,67852,62.6,3.3
Jul.1997,126057000,19460000,87030000,19580000,106929,68232,62.4,3.3
Aug.1997,125972000,19390000,86950000,19640000,103388,68358,61.8,3.4
Sep.1997,126062000,19390000,86990000,19700000,99935,65865,61.8,3.5
Oct.1997,126157000,19370000,87040000,19760000,100329,74523,61.7,3.5
Nov.1997,126191000,19340000,87030000,19840000,94887,75916,61.1,3.4
Dec.1997,126258000,19320000,87040000,19910000,100266,80713,60.9,3.2
Jan.1998,126096000,19260000,86910000,19940000,99928,89678,60.3,3.6
Feb.1998,126305000,19260000,86990000,20070000,89559,88074,59.9,3.7
Mar.1998,126207000,19240000,86840000,20140000,98303,86105,60.4,4.1
Apr.1998,126271000,19190000,86860000,20230000,98225,75440,61,4.3
May.1998,126293000,19180000,86840000,20280000,102052,74266,61.5,4.3
Jun.1998,126362000,19160000,86900000,20310000,101074,69666,61.6,4.1
Jul.1998,126400000,19140000,86920000,20350000,108093,72041,61.3,3.9
Aug.1998,126307000,19070000,86850000,20400000,105304,71793,61,4.3
Sep.1998,126398000,19070000,86880000,20460000,104695,69262,60.7,4.3
Oct.1998,126472000,19060000,86920000,20510000,101428,74921,60.7,4.3
Nov.1998,126505000,19030000,86910000,20580000,94007,79673,60.2,4.3
